Customer_ID,Laptop Brand,Day,Service Charge(Rs),Repair Time (hours)
1,Dell,Saturday,4290,4
2,Dell,Tuesday,1270,3
3,Dell,Wednesday,4750,2
4,Dell,Thursday,9360,5
5,ASUS,Thursday,6990,2
6,Dell,Saturday,4380,1
7,Dell,Tuesday,1350,3
8,Dell,Friday,5050,5
9,Dell,Thursday,9450,2
10,Lenovo,Thursday,6340,4
11,Dell,Saturday,4390,3
12,Dell,Tuesday,1220,1
13,Dell,Friday,4520,2
14,Dell,Thursday,9320,5
15,MSI,Thursday,6650,1
16,Dell,Saturday,4120,5
17,Dell,Tuesday,1200,4
18,Dell,Wednesday,4480,3
19,Dell,Thursday,9420,2
20,Acer,Thursday,6930,4
21,Dell,Saturday,4130,3
22,Dell,Tuesday,1310,1
23,Dell,Friday,4920,2
24,Dell,Thursday,9160,4
25,Lenovo,Thursday,6060,1
26,Dell,Saturday,4170,3
27,Dell,Tuesday,1290,5
28,Dell,Friday,4780,2
29,Dell,Thursday,9580,4
30,Dell,Thursday,7990,1
31,Dell,Saturday,4410,3
32,Dell,Tuesday,1180,2
33,Dell,Wednesday,4560,1
34,Dell,Thursday,9630,4
35,ASUS,Thursday,7260,2
36,Dell,Friday,4170,5
37,Dell,Tuesday,1330,4
38,Dell,Wednesday,5080,1
39,Dell,Thursday,9270,2
40,Lenovo,Thursday,6130,5
41,Dell,Saturday,4190,3
42,Dell,Tuesday,1240,2
43,Dell,Friday,4590,4
44,Dell,Thursday,9550,1
45,Acer,Thursday,6890,5
46,Dell,Saturday,4230,4
47,Dell,Tuesday,1280,3
48,Dell,Friday,4930,2
49,Dell,Thursday,9400,1
50,MSI,Thursday,6710,5
51,Dell,Saturday,4200,2
52,Dell,Tuesday,1220,1
53,Dell,Wednesday,4480,4
54,Dell,Thursday,9120,5
55,Lenovo,Thursday,6070,3
56,Dell,Saturday,4160,2
57,Dell,Tuesday,1300,4
58,Dell,Friday,4880,3
59,Dell,Thursday,9300,5
60,MSI,Thursday,6970,3
61,Dell,Saturday,4250,5
62,Dell,Tuesday,1210,2
63,Dell,Friday,4520,3
64,Dell,Thursday,9140,4
65,HP,Thursday,6160,1
66,Dell,Friday,4150,3
67,Dell,Tuesday,1290,5
68,Dell,Wednesday,4700,2
69,Dell,Thursday,9430,4
70,Acer,Thursday,7090,2
71,Dell,Saturday,4160,5
72,Dell,Tuesday,1360,4
73,Dell,Friday,4820,3
74,Dell,Thursday,9220,1
75,Lenovo,Thursday,6240,3
76,Dell,Saturday,4140,2
77,Dell,Tuesday,1250,1
78,Dell,Friday,4510,4
79,Dell,Thursday,9560,2
80,MSI,Thursday,6810,1
81,Dell,Saturday,4270,4
82,Dell,Tuesday,1310,3
83,Dell,Wednesday,5030,5
84,Dell,Thursday,9350,2
85,ASUS,Thursday,7020,4
86,Dell,Saturday,4220,3
87,Dell,Tuesday,1230,1
88,Dell,Friday,4660,2
89,Dell,Thursday,9270,5
90,HP,Thursday,6300,2
91,Dell,Saturday,4290,1
92,Dell,Tuesday,1280,5
93,Dell,Friday,4800,4
94,Dell,Thursday,9180,2
95,Lenovo,Thursday,6090,4
96,Dell,Saturday,4240,2
97,Dell,Tuesday,1260,3
98,Dell,Wednesday,4600,5
99,Dell,Thursday,9480,1
100,Dell,Thursday,7890,4
101,Dell,Saturday,4300,3
102,Dell,Tuesday,1320,2
103,Dell,Friday,5070,1
104,Dell,Thursday,9410,4
105,MSI,Thursday,6890,3
106,Dell,Saturday,4280,5
107,Dell,Tuesday,1270,4
108,Dell,Wednesday,4780,3
109,Dell,Thursday,9230,2
110,Acer,Thursday,6950,5
111,Dell,Saturday,4310,3
112,Dell,Tuesday,1350,2
113,Dell,Friday,4980,1
114,Dell,Thursday,9330,4
115,HP,Thursday,6420,2
116,Dell,Saturday,4280,1
117,Dell,Tuesday,9000,5
118,Dell,Wednesday,4540,4
119,Dell,Thursday,9260,3
120,Lenovo,Thursday,6000,2
